team_name,player_name,Total_Passes,Incomplete,Completed,Completion_Rate
Barcelona,Arda Turan,624,51,573,91.8
Barcelona,Gerard Piqué Bernabéu,2032,169,1863,91.7
Barcelona,Javier Alejandro Mascherano,2111,178,1933,91.6
Barcelona,Thomas Vermaelen,347,29,318,91.6
Real Madrid,Toni Kroos,2552,222,2330,91.3
Barcelona,Sergio Busquets i Burgos,2406,224,2182,90.7
Getafe,Mehdi Lacen,114,11,103,90.4
Barcelona,Adriano Correia Claro,361,35,326,90.3
Real Madrid,Mateo Kovačić,773,77,696,90.0
Real Madrid,José Ignacio Fernández Iglesias,578,60,518,89.6
Real Madrid,Luka Modrić,2270,244,2026,89.3
Real Madrid,Sergio Ramos García,1299,139,1160,89.3
Levante UD,Víctor Camarasa Ferrando,139,15,124,89.2
Las Palmas,Javier Garrido Behovide,136,15,121,89.0
Real Madrid,Raphaël Varane,1258,146,1112,88.4
Valencia,Javier Fuego Martínez,112,13,99,88.4
Barcelona,Jérémy Mathieu,832,97,735,88.3
RC Deportivo La Coruña,Pedro Mosquera Parada,180,21,159,88.3
Barcelona,Marc Bartra Aregall,392,46,346,88.3
Atlético Madrid,Tiago Cardoso Mendes,103,12,91,88.3
Barcelona,Marc-André ter Stegen,187,22,165,88.2
Valencia,Enzo Nicolás Pérez,125,15,110,88.0
Valencia,Antonio Barragán Fernández,165,20,145,87.9
Celta Vigo,Augusto Matías Fernández,123,15,108,87.8
Celta Vigo,Nemanja Radoja,122,15,107,87.7
Valencia,Daniel Parejo Muñoz,243,30,213,87.7
Barcelona,Andrés Iniesta Luján,1877,236,1641,87.4
Barcelona,Sergi Roberto Carnicer,1372,176,1196,87.2
Sevilla,Grzegorz Krychowiak,123,16,107,87.0
Real Madrid,Carlos Henrique Casimiro,1056,139,917,86.8
Real Madrid,Daniel Carvajal Ramos,1228,163,1065,86.7
Las Palmas,Aythami Artiles Oliva,113,15,98,86.7
RC Deportivo La Coruña,Fayçal Fajr,172,23,149,86.6
Real Madrid,Kléper Laveran Lima Ferreira,1177,159,1018,86.5
Rayo Vallecano,Roberto Trashorras Gayoso,279,38,241,86.4
Barcelona,Ivan Rakitić,1899,263,1636,86.2
Barcelona,Jordi Alba Ramos,2332,327,2005,86.0
Sevilla,Michael Krohn-Dehli,112,16,96,85.7
Barcelona,Aleix Vidal Parreu,451,65,386,85.6
Barcelona,Daniel Alves da Silva,1971,289,1682,85.3
Real Madrid,Francisco Román Alarcón Suárez,1283,188,1095,85.3
Las Palmas,Jerónimo Figueroa Cabrera,129,19,110,85.3
Levante UD,Simão Mate,101,15,86,85.1
Las Palmas,Jonathan Viera Ramos,188,28,160,85.1
Atlético Madrid,Gabriel Fernández Arenas,193,29,164,85.0
Las Palmas,Pedro Bigas Rigo,166,25,141,84.9
Villarreal,Manuel Trigueros Muñoz,138,21,117,84.8
Barcelona,Claudio Andrés Bravo Muñoz,1004,156,848,84.5
Rayo Vallecano,Jozabed Sánchez Ruiz,174,27,147,84.5
Real Madrid,Danilo Luiz da Silva,1491,231,1260,84.5
Rayo Vallecano,José Eduardo Rosa Vale de Castro,116,18,98,84.5
Las Palmas,Roque Mesa Quevedo,243,38,205,84.4
Villarreal,Bruno Soriano Llido,204,32,172,84.3
Real Madrid,Álvaro Arbeloa Coca,168,27,141,83.9
RC Deportivo La Coruña,Alejandro Bergantiños García,179,29,150,83.8
Athletic Club,Mikel Balenziaga Oruesagasti,147,24,123,83.7
Valencia,André Filipe Tavares Gomes,121,20,101,83.5
Barcelona,Rafael Alcântara do Nascimento,179,30,149,83.2
Levante UD,José Antonio García Rabasco,112,19,93,83.0
Granada,Rubén Salvador Pérez Del Mármol,152,27,125,82.2
Levante UD,Zouhair Feddal,111,20,91,82.0
Real Betis,Petros Matheus dos Santos Araújo,132,24,108,81.8
Real Madrid,Marcelo Vieira da Silva Júnior,2087,379,1708,81.8
Celta Vigo,Sergi Gómez Solà,126,23,103,81.7
Sporting Gijón,Ignacio Cases Mora,109,20,89,81.7
Granada,Francisco Manuel Rico Castro,108,20,88,81.5
Levante UD,Jefferson Andrés Lerma Solís,119,22,97,81.5
Real Madrid,James David Rodríguez Rubio,1214,226,988,81.4
RC Deportivo La Coruña,Sidnei Rechel da Silva Júnior,121,23,98,81.0
Real Betis,Alfred John Momar N''Diaye,110,21,89,80.9
Athletic Club,Aymeric Laporte,150,29,121,80.7
Real Madrid,Lucas Vázquez Iglesias,704,139,565,80.3
Barcelona,Lionel Andrés Messi Cuccittini,1926,382,1544,80.2
Atlético Madrid,Filipe Luís Kasmirski,175,35,140,80.0
Celta Vigo,Jonathan Castro Otto,154,31,123,79.9
RC Deportivo La Coruña,Juan Francisco Moreno Fuertes,124,25,99,79.8
Sevilla,Jorge Andújar Moreno,114,24,90,78.9
RC Deportivo La Coruña,Fernando Navarro i Corbacho,137,29,108,78.8
RC Deportivo La Coruña,Lucas Pérez Martínez,145,31,114,78.6
Barcelona,Munir El Haddadi Mohamed,321,69,252,78.5
Villarreal,Denis Suárez Fernández,123,27,96,78.0
Real Madrid,Karim Benzema,687,152,535,77.9
Espanyol,Víctor Guillermo Álvarez Delgado,113,25,88,77.9
Barcelona,Neymar da Silva Santos Junior,1970,438,1532,77.8
Celta Vigo,Fabián Ariel Orellana Valenzuela,117,26,91,77.8
Atlético Madrid,Antoine Griezmann,148,33,115,77.7
Real Sociedad,Aritz Elustondo Irribaria,139,31,108,77.7
Atlético Madrid,Juan Francisco Torres Belén,183,41,142,77.6
Sevilla,Víctor Machín Pérez,119,27,92,77.3
Villarreal,Jonathan dos Santos Ramírez,135,31,104,77.0
Real Madrid,Jesé Rodríguez Ruiz,399,92,307,76.9
Real Madrid,Cristiano Ronaldo dos Santos Aveiro,1146,268,878,76.6
Málaga,José Luis García del Pozo,105,25,80,76.2
Celta Vigo,Carles Planas Antolínez,109,26,83,76.1
Eibar,Daniel García Carrillo,170,41,129,75.9
Celta Vigo,Pedro Pablo Hernández,108,26,82,75.9
Real Sociedad,Asier Illarramendi Andonegi,156,38,118,75.6
Celta Vigo,Hugo Mallo Novegil,159,39,120,75.5
Real Sociedad,Xabier Prieto Argarate,162,40,122,75.3
Levante UD,Antonio García Aranda,153,38,115,75.2
Málaga,Roberto José Rosales Altuve,160,40,120,75.0
Real Sociedad,Yuri Berchiche Izeta,159,40,119,74.8
Real Madrid,Gareth Frank Bale,791,201,590,74.6
Villarreal,Mario Gaspar Pérez Martínez,152,39,113,74.3
Real Betis,Juan Manuel Vargas Risco,124,32,92,74.2
Sporting Gijón,Ismael López Blanco,100,26,74,74.0
Granada,Hugo Miguel Almeida Costa Lopes,115,30,85,73.9
Athletic Club,Óscar de Marcos Arana,181,48,133,73.5
Sevilla,Steven N''Kemboanza Mike Christopher Nzonzi,139,37,102,73.4
Barcelona,Luis Alberto Suárez Díaz,973,266,707,72.7
Athletic Club,Beñat Etxebarria Urkiaga,194,53,141,72.7
Sporting Gijón,Alberto Lora Ramos,106,29,77,72.6
Sevilla,Benoît Trémoulinas,191,53,138,72.3
Celta Vigo,Daniel Wass,140,39,101,72.1
Celta Vigo,Manuel Agudo Durán,146,41,105,71.9
Levante UD,Iván López Mendoza,124,35,89,71.8
Atlético Madrid,Jorge Resurrección Merodio,142,41,101,71.1
Eibar,Gonzalo Escalante,135,40,95,70.4
Real Betis,Álvaro Cejudo Carmona,111,33,78,70.3
Espanyol,Hernán Arsenio Pérez González,100,30,70,70.0
Espanyol,Javier López Rodríguez,122,37,85,69.7
Granada,Rubén Rochina Naixes,135,41,94,69.6
Real Madrid,Keylor Navas Gamboa,905,278,627,69.3
Getafe,Damián Nicolás Suárez Suárez,126,39,87,69.0
Getafe,Pablo Sarabia García,112,35,77,68.8
Sevilla,Sergio Rico González,118,40,78,66.1
Rayo Vallecano,Joaquín José Marín Ruiz,131,45,86,65.6
Eibar,Ander Capa Rodríguez,174,61,113,64.9
Levante UD,José Luis Morales Nogales,119,42,77,64.7
Eibar,David Juncà Reñé,169,60,109,64.5
Las Palmas,Javier Varas Herrera,148,53,95,64.2
Málaga,Miguel Torres Gómez,100,37,63,63.0
Granada,Andrés Eduardo Fernández Moreno,120,47,73,60.8
Málaga,Idriss Carlos Kameni,142,56,86,60.6
Getafe,Vicente Guaita Panadero,110,45,65,59.1
Real Sociedad,Gerónimo Rulli,134,61,73,54.5
Eibar,Asier Riesgo Unamuno,120,60,60,50.0
Sporting Gijón,Iván Cuéllar Sacristán,122,76,46,37.7
Real Betis,Antonio Adán Garrido,128,82,46,35.9
